;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
8165;masculino;industria;fabrica de;buenos aires;2.0;9.0;2017-10-05;3000000.0;microempresarial
8166;femenino;comercio;variedades;moravia;2.0;4.0;2018-07-26;7800000.0;microempresarial
8167;masculino;servicio;mantenimiento en;robledo;2.0;7.0;2018-11-14;7500000.0;microempresarial
8168;masculino;comercio;almacen de ropa en;villatina;1.0;8.0;2016-10-04;4000000.0;microempresarial
8169;masculino;servicio;comidas rapidas;versalles no. 2;1.0;3.0;2017-11-20;3000000.0;microempresarial
8170;femenino;comercio;comidas rapidas;el salvador;3.0;9.0;2018-08-17;5000000.0;microempresarial
8171;femenino;industria;fabrica de;belen;3.0;16.0;2018-04-25;7800000.0;microempresarial
8172;femenino;comercio;variedades;nuevos conquistadores;2.0;13.0;2017-11-10;2500000.0;microempresarial
8173;masculino;servicio;variedades;robledo;2.0;7.0;2018-04-06;7800000.0;microempresarial
8174;femenino;industria;fabrica de;cabecera san cristobal;3.0;;2019-04-08;8000000.0;microempresarial
8175;femenino;comercio;almacen de ropa en;picacho;2.0;6.0;2017-06-01;4400000.0;microempresarial
8176;masculino;comercio;variedades;robledo;2.0;7.0;2017-07-24;7000000.0;microempresarial
8178;masculino;industria;cerrajeria;manrique central no. 2;2.0;3.0;2016-03-14;4000000.0;microempresarial
8180;femenino;industria;fabrica de;la milagrosa;3.0;9.0;2018-02-21;4000000.0;microempresarial
8181;femenino;comercio;almacen de ropa en;robledo;1.0;7.0;2018-04-16;4000000.0;microempresarial
8182;masculino;industria;reciclaje;belen;3.0;16.0;2017-05-30;7000000.0;microempresarial
8183;femenino;comercio;variedades;la milagrosa;3.0;9.0;2016-10-31;6800000.0;microempresarial
8184;femenino;comercio;variedades;barrio caicedo;2.0;9.0;2017-04-07;1500000.0;microempresarial
8186;femenino;servicio;peluqueria;20 de julio;1.0;13.0;2018-11-13;6000000.0;microempresarial
8187;femenino;comercio;variedades;campo valdes no. 1;3.0;4.0;2016-03-28;1300000.0;microempresarial
8188;masculino;industria;fabrica de;la francia;2.0;2.0;2018-06-22;7800000.0;microempresarial
8189;femenino;comercio;almacen de ropa en;boston;3.0;10.0;2017-02-06;7377000.0;microempresarial
8190;femenino;industria;fabrica de;picacho;1.0;6.0;2018-12-06;7000000.0;microempresarial
8191;femenino;comercio;variedades;aranjuez;2.0;4.0;2016-04-13;4000000.0;microempresarial
8192;femenino;industria;fabrica de;picacho;1.0;6.0;2018-10-03;5250000.0;microempresarial
8193;femenino;comercio;tienda de helados;playon de los;2.0;2.0;2017-11-28;7000000.0;microempresarial
8194;masculino;comercio;papeleria;castilla;3.0;5.0;2016-08-18;2000000.0;microempresarial
8195;femenino;comercio;variedades;robledo;2.0;7.0;2018-01-29;7300000.0;microempresarial
8197;femenino;industria;fabrica de;andalucia;2.0;2.0;2017-04-17;7000000.0;microempresarial
8198;masculino;industria;ebanistaria;popular;1.0;1.0;2017-09-13;7000000.0;microempresarial
8200;masculino;servicio;peluqueria;robledo;2.0;7.0;2018-04-27;2000000.0;microempresarial
8201;femenino;comercio;almacen de ropa en;pablo vi;2.0;2.0;2018-03-14;4000000.0;microempresarial
8203;masculino;industria;fabrica de;buenos aires;3.0;9.0;2018-12-10;2000000.0;microempresarial
8205;femenino;comercio;almacen de ropa en;la ladera;3.0;8.0;2016-11-16;6800000.0;microempresarial
8206;femenino;comercio;variedades;robledo;3.0;7.0;2017-08-02;5000000.0;microempresarial
8207;masculino;comercio;comidas rapidas;enciso;2.0;8.0;2018-10-22;7800000.0;microempresarial
